protein,interactors
MRPL54,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL14,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL21,MRPL44 MRPL39 MRPL15 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL55,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21
MRPL10,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL52,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL41,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL50,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL43,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL30,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL24,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPS36 MRPS18B MRPS21 MRPL55
MRPL38,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL53,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL48,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL34,MRPL44 MRPL39 MRPL15 MRPL21 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL45,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL32,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL20,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL13,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL9,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL4,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL1,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL37,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL18,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL46,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL44,MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL47,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL40,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL17,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL22,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
